"No.","Date","Genre","Bibl","Hit"
"1","1966-11-11","Zeitung","Die Zeit, 11.11.1966","In den anderen Ländern des Gemeinsamen Marktes liegen 60 bis 90 Prozent der Stahlproduktion jeweils bei nur einem Unternehmen."
"2","1953-07-02","Zeitung","Die Zeit, 02.07.1953","Gerade in diesen ersten Nachkriegsjahren aber - von 1945 bis 1948 - lernte der schwedische Käufer und Verbraucher, bisweilen zu seiner Überraschung, daß die anderen Länder entweder an Qualität oder im Preis nicht das gleiche liefern konnten, was man aus Deutschland gewohnt war."
"3","1956-07-19","Zeitung","Die Zeit, 19.07.1956","Bei einem Empfang der heimischen Olympioniken gab der Ministerpräsident bekannt, daß sein Land im laufenden Geschäftsjahr fast zwei Millionen Mark zur Förderung der Vollblutzucht, Traberzucht und der ländlichen Reiterei zur Verfügung stellen wird."
"4","1967-09-29","Zeitung","Die Zeit, 29.09.1967","""Deutschland - Das Land in dem wir leben"", Porträt in Wort und Bild; Bertelsmann Verlag, Gütersloh; 544 S., 45,- DM."
"5","1954-06-03","Zeitung","Die Zeit, 03.06.1954","Auch wenn wir heute nicht mehr wie vor wenigen Jahren noch als Habenichtse ins Ausland gehen, sondern als Devisenbringer und Vertreter eines Landes, das die Gleichberechtigung mit allen anderen Völkern anstrebt."
"6","1958-01-30","Zeitung","Die Zeit, 30.01.1958","Da es als erwiesen galt, daß in den unterentwickelten Ländern Europas und Nordamerikas während der letzten 150 Jahre eine direkte Korrelation zwischen Wohlstand und wachsender Industrialisierung bestand, glaubte man in den Entwicklungsländern, daß die Industrialisierung als Allheilmittel für wirtschaftliche Entwicklungspläne dienen könnte."
"7","1961-01-27","Zeitung","Die Zeit, 27.01.1961","Schon die Tatsache allein, daß die Maßstäbe von Land zu Land wechseln, daß zum Beispiel der eigentlich als sittlich streng bekannte Bayerische Rundfunk (der in der Lysistrata-Sache, eine einsame Säule, nicht gewankt hatte) nichts gegen Enzensberger oder Klebe einzuwenden wußte, zeigt die ganze Absurdität."
"8","1969-09-26","Zeitung","Die Zeit, 26.09.1969","Aber das Land ist unverwüstlich, und Natur kann auch ins Auto hinein inspirieren."
"9","1959-07-03","Zeitung","Die Zeit, 03.07.1959","Das körperhaft Nervöse, dabei formal Ausgewogene, Abgerundete und im besten Sinne Vollständige der neu-asiatischen Kunst könnte vermuten lassen, daß in jenen Ländern überhaupt nur Meisterwerke entstünden."
"10","1956-07-05","Zeitung","Die Zeit, 05.07.1956","Hier hängt nicht ein städtischer Perfektionswettbetrieb in der Luft und darunter ist leerer Raum, ein gähnendes Nichts; sondern ""das Land"" und die Hauptstadt verhalten sich auch in bezug auf das Kunstleben zueinander wie der Baum zur Blüte."
