"No.","Date","Genre","Bibl","Hit"
"1","2024-05-29","Zeitung","Die Zeit, 29.05.2024","Die Stadt Arkadag zeigt im Kleinen, wie der Staat am Kaspischen Meer funktioniert:"
"2","2016-04-07","Zeitung","Die Zeit, 07.04.2016","Nur mit einem Land in Nordafrika gibt es keinen Vertrag, weil dort kein Staat existiert, keine Regierung, mit der man verhandeln könnte: Libyen, 300 Kilometer von der italienischen Insel Lampedusa entfernt."
"3","2023-09-28","Zeitung","Die Zeit, 28.09.2023","Doch auch die Vereinigten Staaten haben ihn immer fasziniert - jetzt schreibt er erstmals über sie."
"4","2019-08-08","Zeitung","Die Zeit, 08.08.2019","Das Auswärtige Amt erklärt, man rede mit der libanesischen Seite darüber und stimme sich mit anderen Staaten ab."
"5","2013-01-17","Zeitung","Die Zeit, 17.01.2013","Der Film, der in den Vereinigten Staaten eine fast ungeteilte Zustimmung der Kritiker gefunden hat, beginnt mit einem erschreckenden Schlachtengemälde, als gelte es, noch einmal Sergeant Ryan zu retten."
"6","2018-02-15","Zeitung","Die Zeit, 15.02.2018","Da hat der Staat Anfang des Jahrtausends ein Netz aus Glasfasertechnik für alle geschaffen."
"7","2023-10-19","Zeitung","Die Zeit, 19.10.2023","Der Staat wird für den Krieg viel Geld ausgeben."
"8","2006-07-20","Zeitung","Die Zeit, 20.07.2006","Die Gewerkschaften können dem grenzenlosen Kapitalismus nicht wirklich Paroli bieten den Staat und dessen öffentliche Hand können sie aber allemal noch lahm legen."
"9","2024-03-14","Zeitung","Die Zeit, 14.03.2024","Der Staat gegen Fritz Bauer - das Filmporträt des hessischen Generalstaatsanwalts im großen Frankfurter Auschwitz-Prozess - ist einer seiner Lieblingsfilme."
"10","2012-07-05","Zeitung","Die Zeit, 05.07.2012","Oder ins Jahr 1933, als der Staat der katholischen Kirche im »Reichskonkordat« die Zukunft der Theologischen Fakultäten garantierte."
