"No.","Date","Genre","Bibl","Hit"
"1","1951-03-29","Zeitung","Die Zeit, 29.03.1951","Als sich nämlich der Eröffnungstag näherte und Osthoff aufgefordert wurde, die ausbedungene Mietvorauszahlung an den Hamburger Staat zu leisten, stellte sich heraus, daß an den 100000 Mark 35000 fehlten."
"2","1949-09-29","Zeitung","Die Zeit, 29.09.1949","A uch jenen Mühseligen und Beladenen"" unter V dn Deutschen, die noch immer in Lagern oder Gefängnissen auf die Entscheidung ihres Schicksals warten, gewährt die Errichtung des neuen deutschen Staates gewisse Hoffnungen auf ein gerechtes Urteil."
"3","1967-10-27","Zeitung","Die Zeit, 27.10.1967","Technologische Notwendigkeiten und nicht etwa ideologische oder politische Winkelzüge zwingen die Firma, die Hilfe und den Schutz des Staates zu suchen."
"4","1951-02-15","Zeitung","Die Zeit, 15.02.1951","An ihn soll hier erinnert werden, weil er damit abschloß, daß das höchste Gericht der Vereinigten Staaten sich für unzuständig erklärte, eine Revision zu behandeln, und kurze Zeit darauf sämtliche Verurteilten entlassen wurden."
"5","1946-03-21","Zeitung","Die Zeit, 21.03.1946","England hat während des Krieges etwa die Hälfte seiner Tankertonnage verloren und auch die Einbußen der Vereinigten Staaten waren groß."
"6","1959-03-20","Zeitung","Die Zeit, 20.03.1959","Der amerikanische Romancier und Dramatiker William Saroyan (""Menschliche Komödie"") hat die Vereinigten Staaten verlassen und wird frühestens dann zurückkehren, wenn er in Europa: genügend Geld verdient hat, um seine dreißigtausend Dollar Steuerrückstände zu bezahlen."
"7","1963-04-19","Zeitung","Die Zeit, 19.04.1963","Aber soweit die Atomgegner eine ehrliche politische Überzeugung vertreten und die Gesetze des Staates achten, hat dieser Staat kein Recht, Demonstrationen zu untersagen."
"8","1965-05-07","Zeitung","Die Zeit, 07.05.1965","Auf lange Sicht muß das Wohlstandsgefälle zwischen Nord und Süd, in dem so viel politisches und soziales Dynamit liegt, ausgeglichen werden, Das ist nur dadurch zu erreichen, daß die Bundesrepublik und die anderen hochindustrialisierten Staaten darauf verzichten, ihr Wirtschaftspotential durch geborgte Arbeitskraft immer mehr zu verstärken."
"9","1962-03-23","Zeitung","Die Zeit, 23.03.1962","Nun ist es richtig, daß Staat und Gesellschaft den Fachmann außerordentlich nötig haben, sei. er Empiriker oder wissenschaftlich ausgebildeter Praktiker oder ganz ausschließlich seinen Forschungen hingegebener Wissenschaftler."
"10","1948-01-22","Zeitung","Die Zeit, 22.01.1948","Hohe Steuerforderungen im Budget der Vereinigten Staaten"
"11","1957-10-24","Zeitung","Die Zeit, 24.10.1957","Es ist jedoch nicht zu verkennen, daß Schuldner von Altspareransprüchen nicht die Lebensversicherung, sondern der Staat ist."
"12","1952-12-18","Zeitung","Die Zeit, 18.12.1952","2. durch Eingriffe des Staates in den internationalen Marktzusammenhang: auch diese Entwicklung ist grundsätzlich als Gefahr erkannt, doch sind die Ansätze, sie anzuhalten oder möglichst umzukehren, um vieles schwächer als im nationalen Bereich (Havanna-Charta!)."
"13","1949-07-21","Zeitung","Die Zeit, 21.07.1949","Ihr Handel würde durch diesen Wettbewerb nicht betroffen werden, wohl aber die einheimischen Industrien in den meisten Staaten, und an deren Widerspruch scheitert ein größerer Warenverkehr im Rahmen der Vorkriegszeit."
"14","1962-02-09","Zeitung","Die Zeit, 09.02.1962","Heute sind 2000 Firmen und mehr als 6000 einzelne Angestellte Mitglied der DGK, die damit das größte vom Staat und den großen Verbänden unabhängige private Sozialwerk darstellt."
"15","1969-08-29","Zeitung","Die Zeit, 29.08.1969","Die Vereinigten Staaten machen gar keinen Hehl daraus, daß ihr nationales Interesse der Maßstab ihrer Bündnisverpflichtungen ist."
"16","1960-03-04","Zeitung","Die Zeit, 04.03.1960","Denn hier wird er, der alte, aufrechte Demokrat und erste Diener des Staates auf dem Präsidentenstuhl, der das-Tor der Demokratie für die Jugend weit aufmachen möchte, entdecken, daß andere Diener des Staates es den Jungen vor der Nase wieder zuschlagen."
"17","1966-10-28","Zeitung","Die Zeit, 28.10.1966","Dennoch ist es der sowjetischen Führung nicht gelungen, die acht bei der Konferenz vertretenen kommunistischen Staaten auf den Moskauer Standpunkt zu vergattern."
"18","1963-05-31","Zeitung","Die Zeit, 31.05.1963","So gut sich ein Versuch zur Selbstbeschränkung macht in dem Augenblick, da man nach der Hilfe des Staates ruft - die Erfahrungen, die man in der Seeschiffahrt mit dem Versuch gemacht hat, einen Tanker- und Tramppool zu bilden, lassen wenig Raum für optimistische Prognosen."
"19","1948-06-03","Zeitung","Die Zeit, 03.06.1948","Die Vereinigten Staaten dagegen, die im Kriege nur eine begrenzte Expansion auf dem Südafrikanischen Markte vornehmen konnten, haben sich seitdem sehr durchsetzen können."
"20","1954-07-08","Zeitung","Die Zeit, 08.07.1954","Dann wird der Staat mit 4%igen Bundesschuldverschreibungen (mit zehnjähriger Laufzeit) zahlen; die Papiere können zur Abstattung verschiedener Steuern verwendet werden."
"21","1969-12-19","Zeitung","Die Zeit, 19.12.1969","Basis des französischen Vorschlags soll die UNO-Resolution vom 22. November 1967 sein, in der unter anderem der Abzug der israelischen Streitkräfte aus den besetzten Gebieten und die Anerkennung des Existenzrechtes aller Staaten im Nahen Osten gefordert wird."
"22","1964-08-07","Zeitung","Die Zeit, 07.08.1964","Ob eigentlich die deutschen Gaullisten wissen, daß in dem von de Gaulle herbeigesehnten Jahr 1966, (dem Jahr, in dem ausreichend Mirages IV zur Verfügung stehen,) die Explosivkraft der französischen force de frappe sich zu der Atommacht der Vereinigten Staaten etwa wie 3 zu 3000 verhält? Dff"
"23","1968-11-22","Zeitung","Die Zeit, 22.11.1968","Wird die bisherige Finanzpolitik der Großen Koalition fortgesetzt, so bleibt nichts anderes übrig, als die Steuerschraube immer fester anzuziehen und dem Staat einen immer weiter wachsenden Anteil am Bruttosozialprodukt in die Hand zu geben."
"24","1952-07-03","Zeitung","Die Zeit, 03.07.1952","Das merkwürdige Phänomen des bürgerlichen Gehorsams ruht, in unserer Zeit, auf der Illusion der Staatsbürger, sie selbst seien der Staat, während sie in Wirklichkeit diejenigen sind, die dem Staat, der befiehlt, zu gehorchen haben, also etwas ganz anderes als der Staat."
"25","1965-11-05","Zeitung","Die Zeit, 05.11.1965","32 Außenminister von 65 eingeladenen Staaten und Exilregierungen haben die Konferenz ""auf unbestimmte Zeit"" vertagt, nachdem China und einige andere abgesagt hatten."
"26","1966-10-07","Zeitung","Die Zeit, 07.10.1966","Die in Vietnam kämpfenden Mächte haben die Genfer Abkommen, die die Einhaltung minimaler menschlicher Regeln im Kriegsfalle erstreben, unterzeichnet: Südvietnam 1953, die Vereinigten Staaten 1955, Nordvietnam 1957."
"27","1960-09-02","Zeitung","Die Zeit, 02.09.1960","Nur durch die Anerkennung der Oder-Neiße-Linie seitens der Bundesrepublik und seitens des noch nicht vorhandenen künftigen neutralen Staates Ostdeutschland würde die gute Nachbarschaft mit Polen (zum Leidwesen Rußlands) erreicht werden."
"28","1961-12-15","Zeitung","Die Zeit, 15.12.1961","Wie Minor S. Jameson jr., ein Vorstandsmitglied der IPAA, vor kurzem der Presse mitteilte, sind die laufenden Bestände an Erdöl und Erdölprodukten in den Vereinigten Staaten derzeit um rund 30 Millionen Barrels (Faß) höher als zur gleichen Zeit des Vorjahres."
"29","1956-02-02","Zeitung","Die Zeit, 02.02.1956","Die Grundkonzeption ist evident politisch - worauf übrigens auch schon die in den Text eingebauten Versicherungen, die UdSSR werde nunmehr alle kapitalistischen Staaten in punkto Produktion überholen und u. a. an der Spitze der atomaren Industrie marschieren, hinweisen."
"30","1969-08-29","Zeitung","Die Zeit, 29.08.1969","Indessen wurden sich die 14 Staaten laut Kommuniquéeinig, daß die israelisch besetzten Gebiete nur durch Gewalt befreit werden könnten."
"31","1946-07-04","Zeitung","Die Zeit, 04.07.1946","Damit verlor das Bürgertum die Freiheit gegenüber den Trägern der öffentlichen Macht, der ""Obrigkeit"", zugleich jedoch wehrte es um so eifriger den Massen, die in den Staat und damit in die Macht drängten, war doch die Macht im Staate, die Politik das Schicksal geworden."
"32","1967-08-04","Zeitung","Die Zeit, 04.08.1967","Der amerikanische Negerschriftsteller James Baldwin, bei uns vor allem durch seine Romane (""Eine andere Welt"", ""Giovannis Zimmer"", ""Gehe hin und verkünde es vom Berge"") bekannt, nannte den härtesten seiner Essays zum Rassenkonflikt in den Vereinigten Staaten ""The Fire Next Time"" - das nächste Mal Feuer."
"33","1960-08-26","Zeitung","Die Zeit, 26.08.1960","Man kaufe sich die Regensburger Domspatzen in der Diskothek zu Bonn und eine Posaune, auf der man in den Staaten hervorblasen kann die kostbare, köstliche, teure Zeit in Old Germany, das sich so frisch herausgeputzt hat, als wäre es gerade erst erfunden worden."
"34","1953-04-23","Zeitung","Die Zeit, 23.04.1953","Warum der Staat die Filmproduktion unterstützt"
"35","1969-04-18","Zeitung","Die Zeit, 18.04.1969","Hierin unterscheiden sie sich nicht im geringsten von anderen Staaten."
"36","1959-12-18","Zeitung","Die Zeit, 18.12.1959","Im Staat Virginia, der noch heute seines traditionsreichen Lebens wegen gerühmt wird, soll das Weihnachtsessen mit einer feinen Krabbensuppe anfangen."
"37","1957-09-19","Zeitung","Die Zeit, 19.09.1957","Das kann freilich nicht darüber hinwegtäuschen, welche Interessen er verfolgt: die Interessen des ihn bezahlenden niederländischen Staates natürlich."
"38","1967-12-22","Zeitung","Die Zeit, 22.12.1967","Während der Depression durchzieht ein kriminelles Pärchen (Warren Beatty und Faye Dunaway), später begleitet von Freunden und Verwandten, mehrere Staaten der USA, raubt, tötet und wird getötet."
"39","1960-12-02","Zeitung","Die Zeit, 02.12.1960","Von totalitären Staaten östlicher Provenienz geht nicht nur Bedrohung, sondern auch Öde und kleinbürgerlicher Muff aus."
"40","1950-10-05","Zeitung","Die Zeit, 05.10.1950","Die Verhandlungen zwischen rotchinesischen und tibetanischen Delegierten über ein Abkommen zwischen beiden Staaten wurden in Neu-Delhi ergebnislos abgebrochen."
"41","1968-05-24","Zeitung","Die Zeit, 24.05.1968","""Die Geschichte beweist"", doziert er mit erhobener Stimme, ""daß solche Staaten nicht ewig sind."""
"42","1946-10-03","Zeitung","Die Zeit, 03.10.1946","""Kein Staat der Welt ist bereit gewesen, eine fremde Gerichtsbarkeit über die Frage anzunehmen, ob seine Entschlüsse in der letzten Existenzfrage berechtigt waren oder nicht."""
"43","1962-11-09","Zeitung","Die Zeit, 09.11.1962","Dieses deutschen Staates, der mehr ist als eine grandiose Klüngelei mit dem Firmenschild CDU/CSU und FDP."
"44","1961-12-08","Zeitung","Die Zeit, 08.12.1961","""Der Staat Israel"", so expliziert uns eine neues Buch, ""liegt am Mittelmeer, und zwar derart, daß man von jedem beliebigen Punkt des Landesinnern in einer halben Stunde entweder ans Meer oder in arabische Gefangenschaft kommt."""
"45","1957-12-19","Zeitung","Die Zeit, 19.12.1957","In der augenblicklichen und gewiß noch lange andauernden Lage der europäischen Arbeitsmärkte dient diese Regelung beiden Staaten, dem italienischen, der unter dem Druck von mehr als anderthalb Millionen Erwerbslosen steht, und dem deutschen, dessen Produktionskapazitäten gegenwärtig mangels geschulter Arbeitskraftreserven nicht voll ausgeschöpft werden können."
"46","1965-10-01","Zeitung","Die Zeit, 01.10.1965","So hat sich die Fluggesellschaft des Staates Elfenbeinküste bereits erboten, einen direkten Touristen-Liniendienst zwischen Hamburg-Paris-Madrid und Abidschan (Elfenbeinküste) einzurichten."
"47","1965-09-17","Zeitung","Die Zeit, 17.09.1965","Großbritannien ist dazu im Augenblick wohl wirtschaftlich zu schwach, außerdem (wie die meisten EFTA- - Staaten) politisch nicht ohne weiteres bereit."
"48","1969-12-19","Zeitung","Die Zeit, 19.12.1969","Ein Gespenst geht rund um den Erdball, das Gespenst der Gewalt: Vietnam, die Vereinigten Staaten, Brasilien liegen an seinem Weg - Mord, Entführung, Terror, Bombenanschläge auf israelische und arabische Reisebüros, auf italienische Banken und Berliner Richter sind die Spuren, die es hinterläßt."
"49","1969-12-19","Zeitung","Die Zeit, 19.12.1969","In Everett entstand neben dem früheren Militärflugplatz Paine Field etwa 50 Kilometer Nördlich von Seatle knapp vor der kanadischen Grenze im äußersten Nordwesten der Vereinigten Staaten die Montagehalle, nach Rauminhalt gemessen das größte Gebäude der Welt."
"50","1950-12-14","Zeitung","Die Zeit, 14.12.1950","Von den 30 Staaten Asiens sind einschließlich Rußlands nur 18 Staaten Mitglieder der UNO."
"51","1951-09-13","Zeitung","Die Zeit, 13.09.1951","Wie im Vorjahr, so haben auch jetzt wieder befreundete ausländische Staaten durch besonderes Entgegenkommen eine Ausnahme von der Regel gemacht, daß jedes Mitgliedsland des Internationalen Automobilverbandes nur einmal im Jahr eine derartige Ausstellung haben darf."
"52","1968-05-03","Zeitung","Die Zeit, 03.05.1968","""Aktivere Strukturpolitik des Staates"" - ja, damit auf Kosten der Werktätigen ""unvermeidliche Strukturwandlungen vollzogen werden, die von Privatunternehmern nicht aufgebracht werden können""."
"53","1967-09-01","Zeitung","Die Zeit, 01.09.1967","Nur wenn, was der Mensch ist und will, in den Staat selber eingeht, stellen Mensch und Staat in dem, was ihre Würde ausmacht, sich rein dar."
"54","1961-12-29","Zeitung","Die Zeit, 29.12.1961","In den Vereinigten Staaten bestehe eine starke und immer noch stärker werdende liberale Bewegung, die jede faschistische Rechtstendenz besiegen könne."
"55","1948-08-26","Zeitung","Die Zeit, 26.08.1948","Nachdem aber die rund 560 Fürstenstaaten in den neugebildeten indischen Dominien aufgegangen sind, ist es für Neu Delhi zu einer Art Prestigefrage geworden, auch die beiden letzten und größten Staaten, Kaschmir und Haiderabad, zum Anschluß zu zwingen."
"56","1959-04-10","Zeitung","Die Zeit, 10.04.1959","""Als fester Punkt"" kristallisiert sich ferner ""die Tatsache heraus, daß die SPD die DDR als selbständigen Staat anerkennt, Gespräche zwischen den beiden Regierungen befürwortet und für eine gemeinsame Ausarbeitung von Maßnahmen eintritt, die eine Annäherung der beiden Staaten erleichtern""."
"57","1967-02-24","Zeitung","Die Zeit, 24.02.1967","Seitdem versucht er, in Familie und Staat sein Image und die Herakles-Ideologie abzubauen."
"58","1950-08-31","Zeitung","Die Zeit, 31.08.1950","Mehr als 273 Millionen Menschen in 75 Staaten hätten bisher das Stockholmer ""Friedensdokument"" unterzeichnet, schreibt die Prawda, und da Kinder dies Ächtungsmanifest der Atombombe nicht unterschreiben durften, müßte man rechnen, daß die 273 Millionen Unterschriften für 600 Millionen stünden: den vierten Teil der Menschheit."
"59","1963-12-06","Zeitung","Die Zeit, 06.12.1963","Der Autor identifiziert sich weder mit der Regierung noch mit der Opposition, sondern mit dem Staat."
"60","1965-03-19","Zeitung","Die Zeit, 19.03.1965","Er bewunderte den deutschen Geist und gönnte den Deutschen, daß sie in einem Staate zusammenkämen."
"61","1957-06-27","Zeitung","Die Zeit, 27.06.1957","Wollt ihr die Erziehung bauen helfen, und zwar sorgfältiger, als es je dem Staate gelungen ist?"
"62","1946-11-14","Zeitung","Die Zeit, 14.11.1946","Die Russen unterstellen den Vereinigten Staaten Weltherrschaftspläne und das, was sie erbittert ""Dollardiplomatie"" nennen."
"63","1963-08-30","Zeitung","Die Zeit, 30.08.1963","Im Baumwollgebiet der südlichen Vereinigten Staaten ist Bienenzucht als Erwerbszweig fast ausgestorben."
"64","1961-09-22","Zeitung","Die Zeit, 22.09.1961","So gesehen, ist Deutschland noch nicht wirklich ein demokratischer Staat."
"65","1961-06-16","Zeitung","Die Zeit, 16.06.1961","Eine der gängigsten Thesen der währungspolitischen Diskussion in der Bundesrepublik ist die Behauptung, daß die Zahlungsbilanz-Krise in den Vereinigten Staaten auf ""inflationärem Druck"" und die Zahlungsbilanz-Überschüsse in der Bundesrepublik auf besserer ""monetärer Disziplin"" beruhen."
"66","1959-03-06","Zeitung","Die Zeit, 06.03.1959","Es ist schon wahr: der Erziehungszoll schafft in seinen Nutznießern mächtige Interessenten, welche sich gegen seine Aufhebung stemmen; aber wenn sie damit Erfolg haben, so spricht das nicht gegen die einstmalige Notwendigkeit des Zolls, sondern besagt nur etwas über die Schwäche, über die Verwirtschaftung des Staates."
"67","1967-04-28","Zeitung","Die Zeit, 28.04.1967","Zwar ist die katholische Kirche neben dem Staat das mächtigste Element innerhalb der polnischen Gesellschaft, und die polnische Landwirtschaft noch zu 80 Prozent in den Händen freier Bauern."
"68","1954-09-02","Zeitung","Die Zeit, 02.09.1954","Die Leistungen des Staates werden nämlich deshalb als unentgeltlich empfunden, weil eine große Anzahl von Menschen glaubt: die Steuern würden, im wesentlichen von den Wohlhabenden aufgebracht."
