"No.","Date","Genre","Bibl","Hit"
"1","1989-10-27","Zeitung","Die Zeit, 27.10.1989","Er hat bei seinen Überlegungen über das deutsche Problem die Begriffe Einigung und Wiedervereinigung nicht in den Mund, genommen Statt dessen sprach er von ""Aussöhnung"", auf die das deutsche Volk ein Recht habe."
"2","1987-11-06","Zeitung","Die Zeit, 06.11.1987","Es ist ein Kampf des Staates gegen das Volk."
"3","1977-04-15","Zeitung","Die Zeit, 15.04.1977","Die Juden gaben die Hoffnung auf eine Änderung ihrer Lage und künftige Unabhängigkeit niemals auf und waren immer der Überzeugung, daß ihrem Volk eine große Zukunft bevorstehe."
"4","1974-09-06","Zeitung","Die Zeit, 06.09.1974","Auf den guten Willen der Welt, der ihr Volk bisher vor einer Hungerkatastrophe bewahrt hat, nahm die indische Ministerpräsidentin diesmal sowenig Rücksicht wie bei der Zerschlagung Pakistans."
"5","1971-10-15","Zeitung","Die Zeit, 15.10.1971","In den fünfziger Jahren entstand in den Beziehungen zwischen China und Japan ein Unikum: die Diplomatie von ""Volk"" zu ""Volk"", kurz ""Volksdiplomatie""."
"6","1975-02-07","Zeitung","Die Zeit, 07.02.1975","Das Volk wird in den Wahlen seine Haltung definieren, und die MFA wird garantieren, was das Volk Portugals will."""
"7","1985-10-25","Zeitung","Die Zeit, 25.10.1985","""Das Volk von Ciempozuelos unterstützt den gerechten Kampf des palästinensischen Volkes Ferner fand ich den Saal des Königreichs der Zeugen Jehovas, der neben einer kleinen Diskothek untergebracht war."
"8","1989-06-30","Zeitung","Die Zeit, 30.06.1989","Mit ihrer Technik des schnellen Vorstoßes und des ebenso schnellen Rückzugs, mit ihrem Bandenkrieg aus dem Hinterhalt, gelten sie als die Vorläufer der im Volk so beliebten Heiducken und Uskoken aus den Befreiungskämpfen des 19. Jahrhunderts, die man ihrerseits wieder als Vorläufer der Partisanen des Zweiten Weltkrieges ansehen kann."
"9","1986-12-12","Zeitung","Die Zeit, 12.12.1986","In diesem Garten herrschte der Zwergenkönig Laurin über ein Volk kleiner Leute, das unermeßliche Schätze besaß."
"10","1970-08-14","Zeitung","Die Zeit, 14.08.1970","Gott war auch dann gerecht, wenn er sein Volk peinigte."
"11","1989-01-27","Zeitung","Die Zeit, 27.01.1989","Was für ein Volk sind wir?"
"12","1976-07-16","Zeitung","Die Zeit, 16.07.1976","Dieser eher wortkarge Mann, der die seltene Begabung hat, auch komplizierte Zusammenhänge einfach und ohne die Fracht unverständlicher Fremdworte darzustellen, hat dieses hohe Amt ja bewußt eingesetzt, um ein Lehrer und Mahner für dieses Volk zu sein, dieses schwierige Volk in seinem geteilten Lande."
"13","1975-04-04","Zeitung","Die Zeit, 04.04.1975","Die entwickelten Völker haben in diesem Prozeß den beispielgebenden Anfang zu machen."
"14","1989-04-21","Zeitung","Die Zeit, 21.04.1989","Manfred George zum Beispiel, der später in New York den ""Aufbau"" gründete, schrieb im April 1937 in der Jüdischen Revue ""In dem Kampf (...) kann es für das jüdische Volk nur eine Stellung geben: die neben dem spanischen Volk, das von denselben Mächten angegriffen wurde, die auch auf den Untergang des jüdischen Volkes sinnen."""
"15","1982-04-02","Zeitung","Die Zeit, 02.04.1982","Wird es Frieden geben in Polen, oder wird, wie in einer griechischen Tragödie, jede Seite ihre Rolle bis zum bitteren Ende spielen - das Volk um der Freiheit und nationalen Selbstverwirklichung willen, die Militärs, dem Gesetz der Ordnung verhaftet, um Schlimmeres zu verhüten?"
"16","1975-12-12","Zeitung","Die Zeit, 12.12.1975","Das Volk ist seinem geistigen Ursprung nach (nicht seinem geschichtlichen nach) ein religiöser Begriff."
"17","1971-03-26","Zeitung","Die Zeit, 26.03.1971","Und da er Film und Politik stets in direkte Beziehung setzt, ergibt sich die Gleichung: Marxismus-Leninismus = Revolution = Film für das Volk / Revisionismus - Verrat = Film gegen das Volk."
"18","1989-01-27","Zeitung","Die Zeit, 27.01.1989","Man weiß es nicht und wird es nie erfahren, weil es das Volk nicht gibt."
"19","1984-12-14","Zeitung","Die Zeit, 14.12.1984","Ich weiß, daß es leicht ist, ein verelendetes Volk mit sechs Millionen Arbeitslosen für sich zu gewinnen, wenn man nur laut genug schreit:"
"20","1985-12-13","Zeitung","Die Zeit, 13.12.1985","Kuronj schreibt zutreffend, ""daß das russische Volk durch den sowjetischen Totalitarismus schwerer leidet als alle anderen Völker""."
"21","1970-03-13","Zeitung","Die Zeit, 13.03.1970","So verschieden diese Kontroversen in verschiedenen Teilen der Welt geartet sein mögen, ihnen allen liegt die Forderung nach einer gerechteren Aufteilung der Früchte des Fortschritts unter den einzelnen Menschen und Völkern zugrunde."
"22","1982-09-03","Zeitung","Die Zeit, 03.09.1982","Auch als Briefschreiber ist Jean Paul primär Autor - und zwar jener phantastisch gefühlvolle Autor, über den Börne später sagte, er habe das deutsche Volk erst die Freiheit des Fühlens gelehrt."
"23","1973-10-12","Zeitung","Die Zeit, 12.10.1973","[...] Gewiß, aus der Sicht eines gelehrten Olymp kann es noch immer so aussehen, als gehe es - wie Hegel dekretierte - die Weltgeschichte nichts an, wenn dem Individuum Unrecht geschieht: ein Universalhistoriker wie Toynbee, für den zeitgenössische wie antike Cäsaren samt ihren ""Zivilisationen"" dem stets gleichen Gesetz von Wachstum und Zerfall unterliegen, hat Anfang der dreißiger Jahre die Politik Stalins als den Versuch definiert, ""ein Volk von Bauern in ein Volk von Mechanikern, das alte Rußland in ein neues Amerika zu verwandeln... Rußland dem Westen anzugleichen, und zwar in so ehrgeiziger, rücksichtsloser und hemmungsloser Weise, daß dadurch das ähnliche Werk Peter des Großen in den Schatten gestellt wird ..."" [...]"
"24","1972-12-29","Zeitung","Die Zeit, 29.12.1972","Und mit diesem Urteil werden, wie ich fürchte, nicht nur die Erzählungen, sondern auch die fremden Völker und die fernen Länder endgültig einem von Abneigung und Verachtung diktiertem Schuldspruch unterworfen."""
"25","1972-09-01","Zeitung","Die Zeit, 01.09.1972","Doch Wolfgang Meyer, Sektionsleiter für Markt- und Kommunikationspsychologie im BDP, wehrt sich gegen solche Vorwürfe: ""Marktpsychologen sind keine Leute, die das Volk verkaufen."""
"26","1973-03-16","Zeitung","Die Zeit, 16.03.1973","1943 bekannte er: ""für einen augenblick erwog sogar ich, wie 'das deutsche Volk' sich rechtfertigen könnte, daß es nicht nur die Untaten des hitlerregimes, sondern auch die romane des herrn mann geduldet hat, die letzteren ohne 20 bis 30 SS-divisionen über sich."""
"27","1979-01-26","Zeitung","Die Zeit, 26.01.1979","Sie werden alle gesichert sein - freilich mit der Ausnahme jener ""Freiheiten, die sich gegen die Interessen des Volkes richten und die Würde des Menschen beeinträchtigen""."
"28","1970-10-23","Zeitung","Die Zeit, 23.10.1970","Trinken wir auf die sittliche Gesundung unseres einstmals so starken Volkes"", sprach der Volksfreund und erhob den sektgefüllten Schuh seiner Begleiterin."
"29","1989-02-10","Zeitung","Die Zeit, 10.02.1989","Es zählt andererseits zum ""Volk"" durch Verweisung auf das Staatsbürgerrecht auch deutsche Volkszugehörige, die auf ihre Staatsangehörigkeit verzichtet haben."
"30","1979-10-12","Zeitung","Die Zeit, 12.10.1979","Der 450. Jahrestag des Deutschen Bauernkrieges, an den er mit einer Reihe eindrucksvoller, in der kräftigen Vereinfachung an die frühen Einblattdrucke erinnernden Holzschnitte erinnerte, war für ihn der Anlaß, darauf hinzuweisen, daß es neben der Obrigkeit auch noch das Volk gibt, das sehr wohl selbst ""nach Lösungen für-seine Probleme suchen kann"" - im Bauernkrieg damals und bei den Bürgerinitiativen heute erkennt er vergleichbare Verhaltensmuster."
"31","1972-08-25","Zeitung","Die Zeit, 25.08.1972","Drittens aber eine merkwürdige Mahntafel, die davon spricht, daß die ""Faschisten"" 1945 an der Zerstörung des inzwischen vom Volke wieder hergestellten Theaters die Schuld trügen."
"32","1986-10-17","Zeitung","Die Zeit, 17.10.1986","Die bittere Klage, wonach der Klerus zu Hause bleibt, die ""Kinder des Volkes"" aber an die Front und in den Tod geschickt werden, entschärft Rafsanjani sofort durch Mahnung an seine Mullahs:"
"33","1985-03-29","Zeitung","Die Zeit, 29.03.1985","In Königsbrunn kann jeder tun, was ich will"") kam er an beim Volk, das ihm bei den Wahlen regelmäßig beachtliche Ergebnisse bescherte."
"34","1984-11-30","Zeitung","Die Zeit, 30.11.1984","Zitat: ""In der Erkenntnis, daß seit Kriegsende der größte Teil unseres Volkes in der Bundesrepublik zusammengedrängt ist und ... daß unsere heimische Landwirtschaft unser Volk schon jetzt nicht mehr in Krisenzeiten ernähren kann ..."" - vor einem halben Jahrhundert hieß das ""Volk ohne Raum""."
"35","1986-08-08","Zeitung","Die Zeit, 08.08.1986","Wenn ich mein Volk in eine bessere Zukunft führen könnte, würde ich alle Gedichte sofort wegschmeißen."
"36","1980-11-28","Zeitung","Die Zeit, 28.11.1980","Wenn ein Kanzler zu Beginn einer Legislaturperiode solcherart dem Volke aufs Maul schaut, dann muß er wohl gute Gründe haben."
"37","1985-12-27","Zeitung","Die Zeit, 27.12.1985","Zwanzig Meter weiter sammelt ein Äthiopier für sein hungerndes Volk."
"38","1982-07-16","Zeitung","Die Zeit, 16.07.1982","Zwar ist eine strikte Bevölkerungspolitik notwendig, doch soll das chinesische Volk nicht nur leidlich ernährt und gekleidet werden, sondern auch einen höheren Lebensstandard gewinnen."
"39","1989-05-19","Zeitung","Die Zeit, 19.05.1989","Der Bundespräsident wird nicht mehr - wie der Reichspräsident - vom Volk, sondern von der Bundesversammlung gewählt."
"40","1978-01-06","Zeitung","Die Zeit, 06.01.1978","Sie müssen lieber auf die Macht verzichten als etwas Falsches tun, das ihnen beim Volke Beliebtheit verschafft oder aber das Volk in Schach hält."
"41","1987-12-18","Zeitung","Die Zeit, 18.12.1987","In den Kammerspielen löste Dieter Dorn Hans Reinhard Müller ab, Christoph Stölzl bekam das Stadtmuseum, das Volk ein Volks- und zusätzlich ein Deutsches Theater."
"42","1985-11-15","Zeitung","Die Zeit, 15.11.1985","Wenn demnächst der Aufschwung zu Ende geht und die Bundesbank mit ihren Gewinnen nicht mehr großzügig den Staatssäckel füllt, dann wird der Finanzminister andere Sorgen haben, als vierzig Milliarden Mark unters Volk zu streuen."
"43","1973-06-29","Zeitung","Die Zeit, 29.06.1973","Bei der ""Nationalen Aktion gegen die Überfremdung von Volk und Heimat"" gab es bald nach der Abstimmung vom Juni 1970 einen gewaltigen Hauskrach."
"44","1974-04-19","Zeitung","Die Zeit, 19.04.1974","Umgekehrt vermeldet die Belgrader Nachrichtenagentur Tanjug mit polemischer Spitze gegen Rom: ""Der Zorn der jugoslawischen Völker hat nicht nachgelassen."""
