"No.","Date","Genre","Bibl","Hit"
"1","1994-11-04","Zeitung","Die Zeit, 04.11.1994","Jörge Semprün 194445 selbst Buchenwald Häftling - hat jetzt auf der Frankfurter Buchmesse daran erinnert, daß Deutschland das einzige Volk in Europa ist, ""das sich mit den beiden totalitären Erfahrungen des 20. Jahrhunderts auseinandersetzen kann und muß: dem Nazismus Faschismus und dem Stalinismus""."
"2","1993-12-31","Zeitung","Die Zeit, 31.12.1993","Schwerter würden zu Pflugscharen umgeschmiedet und ""kein Volk mehr wider das andere ein Schwert aufheben""."
"3","1991-09-27","Zeitung","Die Zeit, 27.09.1991","Das Deutsche Volk bekennt sich darum zu unverletzlichen und unveräußerlichen Menschenrechten als Grundlage jeder menschlichen Gemeinschaft, des Friedens und der Gerechtigkeit in der Welt."""
"4","1998-09-17","Zeitung","Die Zeit, 17.09.1998","Aber was sind wir für ein Volk?Ein fleißiges, kreatives Volk, aber leider aus jahrhundertelanger Prägung auch ein obrigkeitsorientiertes Volk, das sich wenig in die Ausübung der Staatsgewalt einmischt."
"5","1990-09-14","Zeitung","Die Zeit, 14.09.1990","Dürfen wir sie an einem Heroismus messen, der uns nicht abgefordert wurde und der dem deutschen Volk in der Nazizeit nicht in den Sinn kam?"
"6","2004-04-15","Zeitung","Die Zeit, 15.04.2004","Mögen sich Wirtschaft, Gewerkschaften, Verbände und Kirchen noch so entschieden für das Einwanderungsgesetz aussprechen, ""das Volk"", weiß der CSU-Landesgruppenvorsitzende Michel Glos, ""ist für uns""."
"7","1994-06-24","Zeitung","Die Zeit, 24.06.1994","Doch in Völkern und Zeitaltern ist er die Regel!"""
"8","1994-06-17","Zeitung","Die Zeit, 17.06.1994","Die Berliner Blockade, die wenige Wochen später begann, war der Versuch der großen Offensive gegen den ""amerikanischen Imperialismus , den Feind Nr l des Sozialismus, der Arbeiterklasse und auch den Feind Nr l der Einheit Deutschlands, d h des deutschen Volkes"" - so Tulpanow, ganz im Sinne von Stalins ""Zwei Lager Theorie""."
"9","1990-03-09","Zeitung","Die Zeit, 09.03.1990","Vorhang auf, Chemie für's Volk."
"10","2001-10-31","Zeitung","Die Zeit, 31.10.2001","Jetzt muss bloß noch das Volk akklamieren."
