"No.","Date","Genre","Bibl","Hit"
"20","1967-02-10","Zeitung","Die Zeit, 10.02.1967","1. Nationen ohne eigene Kernwaffen werden künftig kaum in der Lage sein, die Rolle einer ""Großmacht"" zu spielen - wobei nicht an die Rolle der beiden ""Super-Mächte"" (USA und UdSSR) zu denken ist, mit denen ohnehin auf absehbare Zeit keine dritte Nation zu konkurrieren vermag, sondern an die Rolle ""sekundärer"" Großmächte (wie Großbritannien, Frankreich und, vorerst, China)."
"21","1954-12-09","Zeitung","Die Zeit, 09.12.1954","Im Kreml, so erklärt Rastoworow, wunderte man sich, warum die Vereinten Nationen den Krieg in Korea nicht zu einem siegreichen Abschluß brachten."
"22","1949-11-10","Zeitung","Die Zeit, 10.11.1949","Carlos Romulo, der Präsident der Vollversammlung, gab bekannt, daß die Sitzungen der Vereinten Nationen vom 7. November an täglich drei Stunden in ein Fernsehprogramm aufgenommen werden."
"23","1968-06-28","Zeitung","Die Zeit, 28.06.1968","Die Geschichte bewegt sich auf größere Zusammenschlüsse, auf intensivere Verwirklichung der Nationen im Geist der Freiheit zu."
"24","1969-11-21","Zeitung","Die Zeit, 21.11.1969","Primitive Instinkte werden aufgerührt und gegen jene Amerikaner ins Feld geführt, die wagen, an der Weisheit ihrer Regierung zu zweifeln, und die den Mut aufbringen, moralische Maßstäbe in der Politik ihrer Nation nicht völlig von pseudopatriotischen Kriterien verdrängen zu lassen."
"25","1966-06-10","Zeitung","Die Zeit, 10.06.1966","Wenn nicht jederzeit klar ist, daß die großen demokratischen Parteien trotz allen Schwierigkeiten und scheinbar unübersteigbaren Hindernissen bereit; willens und fähig sind, die ganze deutsche Nation zu führen, so wird schon bei einer größeren Krise unvermeidlicherweise ein echter Vertrauensschwund eintreten."
"26","1960-02-05","Zeitung","Die Zeit, 05.02.1960","da wird er, vielleicht mit großäugigem Erstaunen, erfahren, was es etwa hieß, Langer Kerl zu sein, im ""Ehrenkleid der Nation"", beim Herrn ""Soldatenkönig""!"
"27","1968-12-06","Zeitung","Die Zeit, 06.12.1968","Alle diese Nachteile hat man jedoch vor sechs Jahren in Kauf genommen, um zu den organisatorischen Schwierigkeiten, die der Bau einer großen Rakete durch drei Nationen mit sich bringt, nicht auch noch neuartige technologische Probleme zu bekommen."
"28","1947-01-23","Zeitung","Die Zeit, 23.01.1947","Es ist nun einmal so, daß der größere Teil der Jugend an den Nationalsozialismus als eine neue, dem einzelnen und der Nation den Weg zu einem sinnerfüllten Dasein öffnende Weltanschauung geglaubt hat."
"29","1963-01-25","Zeitung","Die Zeit, 25.01.1963","Dies Bekenntnis zu unserer Verantwortung in einer einzigen, weltweiten Gesellschaft schließt auch die nüchterne Erwägung ein, daß auf lange Frist die Aussichten für unseren eigenen Frieden und Wohlstand in weitem Maße von der Pflege krisenfester, glücklicher Nationen im gesamten Bereich der Entwicklungsländer abhängen dürften."
"30","1950-10-26","Zeitung","Die Zeit, 26.10.1950","Ferner sollen alle Mitglieder der Vereinten Nationen innerhalb ihrer nationalen Streitkräfte mobile Einheiten unterhalten, die zum sofortigen Einsatz für Maßnahmen der UNO bereitstehen."
"31","1949-10-27","Zeitung","Die Zeit, 27.10.1949","Mütter aller Nationen und alle weiblichen Wesen, die mütterlichen Herzens sind, verbindet die Liebe und Sorge um das, was ihnen teurer ist als ihr eigenes Leben: das Leben ihrer Angehörigen und der Bestand des Heimes."
"32","1967-03-17","Zeitung","Die Zeit, 17.03.1967","Im Gegenteil, die Gemeinschaft ist um so stärker, je mehr sie auch individuellen Interessen dient, und die Nationen Europas dies erkennen und anerkennen."
"33","1966-11-18","Zeitung","Die Zeit, 18.11.1966","Am Ende des Berichtzeitraumes steht dann eine andere, vom ursprünglichen Modell der Kollektiven Sicherheit deutlich unterschiedene ""Gestalt"": der alle Nationen umfassende kollektive Ansatz ist verkümmert zu einer nur noch lahmen Teilnahme an den Vereinten Nationen; ein neues, engeres Sicherheitssystem von Militärpakten war entstanden, mit dessen Hilfe die Vereinigten Staaten die Handlungs-und Entscheidungsfreiheit ihrer Bündnispartner so ""umstellt"" hatten, daß sie dem amerikanischen Führungsanspruch nicht gefährlich werden oder den Ausbruch in das sowjetisch beherrschte System nicht wagen konnten."
"34","1967-10-13","Zeitung","Die Zeit, 13.10.1967","Dem Kanzler allein kann der notwendige neue Anlauf nicht gelingen, auch nicht dem Parlament, wenn nicht die ganze Nation in einer großen geistigen Anstrengung mithilft, die Ziele für morgen festzulegen."
"35","1969-12-12","Zeitung","Die Zeit, 12.12.1969","Als beispielsweise Präsident Nixon am 31. Oktober in seiner Rede vor der interamerikanischen Pressevereinigung die Grundzüge seiner Lateinamerika-Politik entwickelte und dabei von einer gereifteren Partnerschaft und der Notwendigkeit einer größeren Selbsthilfe der lateinamerikanischen Nationen sprach, glaubten viele Beobachter, das sei der Grabgesang für die von Präsident John F. Kennedy verkündete und in der Charta von Punta del Este formulierten ""Allianz für den Fortschritt""."
"36","1948-12-23","Zeitung","Die Zeit, 23.12.1948","Als politische Dachorganisationen, die die Beziehungen unter den Nationen unterhalten, spielen beide eine bedeutende Rolle."
"37","1968-05-24","Zeitung","Die Zeit, 24.05.1968","Und als dann ein ungeschicktes Kabinett statt mit Einsicht mit Polizeibrutalität antwortete, wurden die Forderungen der jungen Akademiker gleichsam zur Frage der Nation."
"38","1966-05-20","Zeitung","Die Zeit, 20.05.1966","Konnten wir nicht vieles loswerden, was uns als Nation belastete, wenn wir Europäer wurden wie die anderen auch, Kämpfer wider den Bolschewismus wie andere auch?"
"39","1969-12-12","Zeitung","Die Zeit, 12.12.1969","[...] Die Menschheit muß diese Verfügungsgewalt verantwortlich denkend und handelnd an sich nehmen, denn ein sich selbst überlassener Prozeß des wissenschaftlich-technischen Fortschritts würde zu Katastrophen noch nicht gekannten Ausmaßes führen: die drohende Hungersnot in der Dritten Welt; die Labilität des Gleichgewichts zwischen Staaten, deren militärisches Potential so immens ist, daß es weder zu einem Angriffs- noch zu einem Verteidigungskrieg brauchbar ist; der ohne einschneidende Planung unvermeidliche Energie- und Wassermangel; schließlich der gewaltige Bildungsrückstand vieler Nationen, die einer breitangelegten Grundbildung dringend bedürfen - all diese Faktoren erfordern eine extensive und intensive Planung politischen, ökonomischen und sozialen Handelns, [...]"
"40","1963-10-25","Zeitung","Die Zeit, 25.10.1963","Der Oberbefehlshaber und seine Nation wollten nicht mehr angreifen, sie waren des kriegerischen Ruhmes satt, sie hatten zu teuer für ihn bezahlt."
