"No.","Date","Genre","Bibl","Hit"
"1","1969-04-25","Zeitung","Die Zeit, 25.04.1969","Und noch ein zweites Argument für den Entschluß der Reformer auszuharren: die Solidarisierung der Arbeiter mit den Ideen der Januar-Revolution, die das ganze Volk nach jahrelanger Apathie plötzlich in äußerste politische Aktivität versetzte."
"2","1963-11-01","Zeitung","Die Zeit, 01.11.1963","Das heitere Temperament des Volkes und die schwerelose Ausgeglichenheit, durch das Klima begünstigt, tragen mit dazu bei, den Alltag mit einem weinenden und einem lachenden Auge zu ertragen."
"3","1967-02-03","Zeitung","Die Zeit, 03.02.1967","Wir können ihnen helfen, ihnen Rüstungsmaterial zur Verfügung stellen, unsere Leute als Berater hinschicken - aber gewinnen müssen sie ihn, das Volk von Vietnam."""
"4","1969-11-21","Zeitung","Die Zeit, 21.11.1969","Das arme Volk schleppt geduldig den Karren, worauf die Fürsten und Liberalen ihre Affenkomödie spielen."""
"5","1957-01-31","Zeitung","Die Zeit, 31.01.1957","[...] An der österreichischen Situation jenes Jahres nimmt der philosophierende Oberst nicht einmal gedanklichen Anteil, wiewohl das immerhin die Zeit war, in der das Volk trotz stärksten sowjetischen Terrors bei der Wahl im November 1945 den Kommunisten eine Abfuhr erteilte, wie sie sie nirgendwo sonst erfahren hatten; die Zeit, in der in den Wiener Spitälern reihenweise die Kinder starben, weil es an den primitivsten Heil- und Nährmitteln fehlte; die Zeit, in der trotz der Barbarei aller vier Besatzungsmächte ein Staat aufgebaut wurde, der sich bislang als stabiler erwiesen hat als mancher von seinen eigenen Phrasen aufgeblähte Siegerstaat von damals. [...]"
"6","1968-12-13","Zeitung","Die Zeit, 13.12.1968","Ich fühlte mich überrieselt von herrlichen Worten über praktische Ziele und ethische Grundsätze: Toleranz, Hilfsbereitschaft, Verständigung der Völker, Abbau der Rassenschranken, Freundschaft, Aufgeschlossenheit, Verantwortungsbewußtsein, Brückenschlag zwischen den Generationen, Verpflichtung, all denen zu helfen, die bedürftig sind und angewiesen auf die Hilfsbereitschaft ihrer Mitmenschen ..."
"7","1962-11-02","Zeitung","Die Zeit, 02.11.1962","Und die katholische Zeitschrift ""Mann in der Zeit"" prophezeite unter der diffamierenden Überschrift ""Schul-Kolchosen?"", daß die Zentralschule dazu beitragen werde, ""unser ganzes Volk der Tingeltangelkultur städtischer Geschäftemacher"" auszuliefern."
"8","1964-06-26","Zeitung","Die Zeit, 26.06.1964","Chemie bringt Brot, wissenschaftlich-technischen Fortschritt, hohe Arbeitsproduktivität und Wohlstand für das ganze Volk."""
"9","1965-04-02","Zeitung","Die Zeit, 02.04.1965","Was so fachhistorisch klingt, ist tatsächlich ein Musterbeispiel politisch-historischer Analyse der Beziehungen zwischen zwei Völkern, in der sich wirtschaftliche, psychologische, machtpolitische und persönliche Faktoren vielfältig ergänzen."
"10","1965-01-01","Zeitung","Die Zeit, 01.01.1965","Für uns als Volk und Staat geht es darum, auf einem vor Erregung zitternden Boden der Weltpolitik unseren sicheren Weg zu finden."
"11","1957-07-25","Zeitung","Die Zeit, 25.07.1957","Sie bilden in den zum großen Teil erst werdenden und noch tief zerklüfteten Völkern das einzig zuverlässige Ordnungselement."
"12","1950-05-18","Zeitung","Die Zeit, 18.05.1950","Dieser Vorgang ist noch ohne Tradition, sonst würde von der Menge spontan die Hungerhymne angestimmt werden, die ja dermaleinst, kommen wird, wenn das neue Ideal erst Gemeingut des Volkes und der Volksdemokratie ist; einstweilen aber verharrt die Menge noch in ehrfürchtigem Schweigen, und niemand bemerkt es, wenn hier und da ein junger, strebender Mensch ganz still für sich versucht, dem Großen da im Kasten nachzueifern."
"13","1951-03-29","Zeitung","Die Zeit, 29.03.1951","Sehen Sie sich doch einmal unser Volk an, wie es auf den Straßen herumlungert, nichts tut, bettelt und nur dann etwas arbeitet, wenn der Hunger es unbedingt dazu zwingt."
"14","1967-03-03","Zeitung","Die Zeit, 03.03.1967","In den Untersuchungen, die Bloch jetzt mit dem Titel ""Judentum in der Krise"" herausgibt, geht er von der Tatsache aus, daß Israel als Volk seine Identität bewahrt hat, und zwar als ein Volk ""eigener Kategorie"", da sich diese Identität nicht auf Land, Staat oder Sprache gründet."
"15","1966-04-29","Zeitung","Die Zeit, 29.04.1966","Was hier auf so häßliche Weise beendet wurde, betraf ein ganzes Volk, ja eigentlich ganz Europa."
"16","1961-12-08","Zeitung","Die Zeit, 08.12.1961","""Eine stärkere Strangulierung der Freiheit der Repräsentanten des Volkes läßt sich insoweit kaum mehr denken, man sieht sie geradezu zu Lorbeerbäumen im Vestibül des Koalitionsausschusses degradiert."
"17","1957-02-14","Zeitung","Die Zeit, 14.02.1957","Wo in den Demokratien eine schlichte Mehrheit genügt, muß es in den Diktaturen das ganze Volk sein -"
"18","1961-12-08","Zeitung","Die Zeit, 08.12.1961","Sie stellten ihrem Volke die Frage, ob dies alles notwendig gewesen sei, ob nicht Fahrlässigkeit, ja sogar Böswilligkeit den blutigen Krieg herbeigeführt habe, und ob nicht am Ende neben Japan auch Amerika als Besiegter treten müsse."
"19","1969-05-23","Zeitung","Die Zeit, 23.05.1969","Nach dem Zusammenbruch und nach der Währungsreform hat Erhard im Rahmen des liberalen Grundgesetzes dieses Volk mit großem Geschick an den Wiederaufbau herangeführt."
"20","1946-03-21","Zeitung","Die Zeit, 21.03.1946","""Die im Kriege Gefallenen sind bei Göttern geehrt und Menschen""; ungezählt bleiben die Worte der Bibel, die die Völker aller Epochen und Sprachen ihren gefallenen Kriegern zum Gedächtnis in Stein meißelten."
"21","1952-08-07","Zeitung","Die Zeit, 07.08.1952","Es wird auch nicht besser dadurch, daß er in seinen Begriff der communis opinio, der öffentlichen Meinung, zwei Elemente hineingeheimnißt: das Recht und das Allgemeinwohl, letzteres im Sinne der Nützlichkeit, womit dann in peinlicher Weise die Erinnerung an die Definition, Recht ist, was dem Volke nutzt, wieder wach wurde."
"22","1960-06-03","Zeitung","Die Zeit, 03.06.1960","""Der französische Kolonialismus führt seit fünf Jahren Krieg gegen das algerische Volk, das heroisch um seine Unabhängigkeit kämpft."""
"23","1947-12-11","Zeitung","Die Zeit, 11.12.1947","So viel uns auch von mancher Seite im Ausland, auch aus den Reihen unserer ehemaligen Kriegsgegner, in manchen Punkten Verständnis und Wohlwollen entgegengebracht wird, so sind wir doch prinzipiell völlig schutzlos, Jeder im Ausland und im Inland jeder, der der inländischen Gerichtsbarkeit nicht unterworfen ist, ist grundsätzlich nicht gehindert, uns als ein ganzes Volks ohne Unterschied zwischen Schuldigen und Unschuldigen, nach Belieben zu beschuldige, m. beleidigen, zu beschimpfen."
