"No.","Date","Genre","Bibl","Hit"
"1","1927-03-04","Zeitung","Vossische Zeitung (Morgen-Ausgabe), 04.03.1927","Sein Ziel ist, die Lehren des letzten Krieges, der gezeigt hat, daß die Feindseligkeit nicht mehr allein von dem Heere, sondern von den Nationen in ihrer Gesamtheit geführt werden, in die Praxis umzusetzen und durch eine entsprechende Organisation die Mobilisierung aller Kräfte des Landes vorzubereiten."
"2","1918-12-31","Wissenschaft","Weber, Max: Parlament und Regierung im neugeordneten Deutschland. In: Weber, Marianne (Hg.) Gesammelte Politische Schriften, München: Drei Masken Verl. 1921 [1918], S. 158","Und ist das ein »Nachtwächterstaat«, der es verstand, der eigenen an Zahl eng begrenzten Nation die besten Teile aller Kontinente anzugliedern?"
"3","1921-03-05","Zeitung","Vossische Zeitung (Morgen-Ausgabe), 05.03.1921","Mit wahrer Freude werden wir uns zu dieser Kundgebung des Fortschritts gesellen, deren Ziel es ist, Aufklärung zu verbreiten, die Gesetze der völkerrechtlichen Beziehungen niederzuschreiben und ein Weltgericht zu schaffen, um alle die Fragen zu regeln, über deren Vorlage vor dieser Gericht die Nationen sich verständigen werden unter gleichzeitiger Kundgebung ihrer Ziele."
"4","1925-03-05","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 05.03.1925","Und wenn über Deutschland und Europa einst die Fahne des wahren Friedens weht und gerecht verteilter Wohlstand herrscht, wird sich an Deinem Hügel neigen die deutsche Nation."
"5","1927-03-05","Zeitung","Vossische Zeitung (Morgen-Ausgabe), 05.03.1927","Alle Festungsbauten, so stark und vollendet sie auch seien, könnten aber nicht den entschlossenen Verteidigungswillen der Nation ersetzen."
"6","1920-03-06","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 06.03.1920","Zu den kommenden olympischen Spielen in Antwerpen haben bisher nicht weniger als 34 Nationen ihre Teilnahme zugesagt Es sind dies: Zentralamerika, Argentinien, Australien, Belgien, Brasilien, Kanada, Chile, Dänemark, Aegypten, Bereinigte Staaten, Ecuador, Spanien, Finnland, Frankreich, Großbritannien, Griechenland, Holland, Italien, Japan, Luxemburg."
"7","1922-03-30","Zeitung","Die Fackel [Elektronische Ressource], 2002 [1922]","Herr Auernheimer, der sich nicht genug tun kann vor Entzücken, wie er in die Solidarität der Nationen einbezogen wurde, tat allerdings sein Möglichstes, um auch die Sympathien für Deutschland anzuwärmen."
"8","1927-01-10","Wissenschaft","Hofmannsthal, Hugo von: Das Schrifttum als geistiger Raum der Nation. In: Bertram, Mathias (Hg.) Deutsche Literatur von Lessing bis Kafka, Berlin: Directmedia Publ. 2000 [1927], S. 94131","Die Grundhaltung drüben ist diese: teilhaben am nationalen Besitz, mitinbegriffen sein in die Repräsentanz der Nation, als welche sich vollendet in der vollkommenen und allen zugänglichen Sprachschönheit - Klarheit, schöne Nüchternheit, zuchtvolle Nachdenklichkeit -, welche ein Sichhaben ist, ein Selbstbesitz und Genießen dieses Selbstbesitzes, gleichweit vom »Barocken« und vom »Gotischen«."
"9","1928-12-18","Zeitung","Tucholsky, Kurt: Wahnsinn Europa. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1928]","Auf diese Empfindlichkeit nimmt eigentlich nur der Vorsitzende Rücksicht, der »nicht duldet, daß von einer Schwesternation so gesprochen wird, von einer befreundeten Nation, von einer verbündeten Nation . . ."
"10","1926-12-31","Belletristik","Traven, B.: Das Totenschiff, Berlin: Büchergilde Gutenberg 1929 [1926], S. 101","Das waren ja Seeräuber vor ihrer ersten Beute; Piraten, die seit sechs Monaten von den Kriegsschiffen aller Nationen verfolgt werden; Buccaneers, die so tief gesunken sind, daß sie keinen andern Ausweg mehr sehen, als chinesische Gemüse-Dschunken auf dem Meer zu überfallen und auszurauben."
