"No.","Date","Genre","Bibl","Hit"
"1","1944-06-27","Zeitung","Archiv der Gegenwart, Bd. 14, 27.06.1944, S. 6428 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Marinetruppen der Kastenbatterien der Nachrichten- und Landdienststellen sowie an Land eingesetzte Schiffsbesatzungen haben sich bei den Kämpfen um Cherbourg unter dem Oberbefehl des Seekommandanten der Normandie Konteradmiral Hennecke und unter Führung des Hafenkommandanten von Cherbourg Fregattenkapitän Witt besonders ausgezeichnet."
"2","1942-06-27","Zeitung","Archiv der Gegenwart, Bd. 12, 27.06.1942","Um unseres Landes willen werdet ihr in großer Zahl gehen."
"3","1945-06-12","Zeitung","Archiv der Gegenwart, Bd. 15, 12.06.1945","Gewaltsam sind sie aus dem Land, das von der deutschen Nation ausgesogen worden ist vertrieben worden, aber auch in ihrer Heimat sind sie unerwünscht."
"4","1940-07-19","Zeitung","Archiv der Gegenwart, Bd. 10, 19.07.1940, S. 4624 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Tollkühne Angriffe auf die Gegner, auf Schiffe und Landungstruppen stehen kaum über dem zähen Heldentum jener Transportflieger, die trotz unvorstellbar schlechtem Wetter immer wieder in das Land der Mitternachtssonne hinaufflogen, um dort oft im Schneesturm Soldaten abzusetzen oder Lasten abzuwerfen Die Fjorde Norwegens sind zu Friedhöfen zahlreicher britischer Kriegsschiffe geworden."
"5","1945-06-16","Zeitung","Archiv der Gegenwart, Bd. 15, 16.06.1945, S. 274 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Gegenüber dem deutschen Standpunkt, daß das, was in Dänemark und Norwegen geschehe, Schweden nichts angehe, stellten die schwedische Gesandtschaft in Berlin und das Außenministerium immer wieder fest, daß diese deutsche Einstellung nicht die Tatsache ändere, an der man nicht vorbeikommen könne, daß das, was in diesen Ländern geschehe, von entscheidender Bedeutung für die weiteren schwedisch-deutschen Beziehungen sei."
"6","1935-01-01","Zeitung","Archiv der Gegenwart, Bd. 5, 01.01.1935, S. 1791 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","[...]; Portugal E 59, A 24; Rumänien E 79, A 85; Rußland E 132, A 262; Schweden E 208, A 227; Schweiz E 276 A 162; Spanien E 144, A 89; Tschechoslowakei E 162, A 205; Ungarn E 43, A 49; Argentinien E 226, A 321; Britisch-Indien E 293, A 347; Canada E 331, A 432; Japan E 391, A 406; Vereinigte Staaten E 928, A 1 293; Der gesamte statistisch erfaßte Welthandel von 52 Ländern (je 26 in und außer Europas) stellte sich 1933 (1932) in der Einfuhr auf 48,6 (544) Milliarden RM. in der Ausfuhr auf 43,4 (47,8) Milliarden. [...]"
"7","1935-09-16","Zeitung","Archiv der Gegenwart, Bd. 5, 16.09.1935","Glücklicherweise werde diese Theorie der Sicherung des Angriffes nur von sehr wenig Ländern geteilt."
"8","1934-02-27","Zeitung","Archiv der Gegenwart, Bd. 4, 27.02.1934, S. 1305 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Wie diese beiden Länder dabei besser wegkommen könnten als bisher, sei nicht ersichtlich."
"9","1937-10-06","Zeitung","Archiv der Gegenwart, Bd. 7, 06.10.1937, S. 3244 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Der Ministerrat beschloß zur Förderung der Motorisierung des Landes eine Herabsetzung der autonomen Mindestzollsätze für Kraftwagen von 30 auf 15 % und eine Ermäßigung der staatlichen und banalen Verbrauchssteuern für Benzinmischung."
"10","1933-02-02","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 02.02.1933","Der Karfreitag als allgemeiner Feiertag mit Sonntagsruhe auch in katholischen Ländern wird von einer dem Vatikan nahestehenden Agentur angekündigt."
