"No.","Date","Genre","Bibl","Hit"
"1","1973-06-01","Zeitung","Die Zeit, 01.06.1973","Der Konzern ist finanziell so autark, daß kein einziger Vertreter der drei großen Banken des Landes im Board der Gesellschaft sitzt."
"2","1989-03-10","Zeitung","Die Zeit, 10.03.1989","Der Koblenzer Verleger Werner Theisen und seine ""Bürgerinitiative Deutsches Eck"" wollen, nachdem sie jahrelang vergeblich der Stadt und dem Land Rheinland-Pfalz Geld für die ""Wiederherstellung"" des Denkmals aufgenötigt haben, jetzt vollendete Tatsachen schaffen."
"3","1988-03-04","Zeitung","Die Zeit, 04.03.1988","Sie wollte den von der Opposition erweckten Eindruck verscheuchen, es handle sich um eine Reform zugunsten der Reichen im Lande und zu Lasten der Durchschnittsverdiener."
"4","1989-11-10","Zeitung","Die Zeit, 10.11.1989","""Beide Länder werfen einander Hegemonie-Gelüste und wirtschaftliche Kolonialisierungsversuche vor"", konstatierte Japans liberale Tageszeitung Asahi Shimbun und erkundigte sich hilflos ""nach dem Verbleib der gegenseitigen Achtung, wenn schon die Bewunderung abhandengekommen ist""."
"5","1989-05-12","Zeitung","Die Zeit, 12.05.1989","Er setzt auf das Verantwortungsbewußtsein der Händler und auf die Ordnungsbehörden der Länder, die die Preisauszeichnungspflicht kontrollieren müssen."
"6","1972-06-30","Zeitung","Die Zeit, 30.06.1972","Ganz Hanoi, diese Hauptstadt eines Landes aus Flüssen und Lagunen, ist eingetaucht in drückende Schwüle."
"7","1978-02-24","Zeitung","Die Zeit, 24.02.1978","Bund, Länder und Gemeinden rechnen mit fünf Prozent mehr Lohn"
"8","1971-02-12","Zeitung","Die Zeit, 12.02.1971","In solcher Lage erinnert man sich gern an die goldenen Zeiten des Zusammenspiels bei den Empfehlungen des Wissenschaftsrates für die Jahre 1960 bis 1965, die von den Bedarfsmeldungen der Hochschulen ausgingen und von den Ländern erfüllt wurden."
"9","1976-07-02","Zeitung","Die Zeit, 02.07.1976","Dabei werden die Finanzierungsmöglichkeiten in Form von Krediten des Bundes und der Länder verbessert, sowie Zinszuschüsse der Länder und Rückbürgschaften des Bundes und der Länder gegeben."
"10","1975-07-18","Zeitung","Die Zeit, 18.07.1975","Das Land Niedersachsen ist aber - so ist jedenfalls zur Zeit die Meinung - nicht bereit, junge VW-Aktien zu übernehmen."
"11","1971-04-16","Zeitung","Die Zeit, 16.04.1971","Und gearbeitet wird in nahezu allen Ländern, zum Beispiel in Polen, Griechenland, Togo, Korea, Kanada und Jamaica."
"12","1970-11-13","Zeitung","Die Zeit, 13.11.1970","Wenn ich über die gesamtkontinentalen Lehrgänge spreche, dann mögen Sie nicht vergessen, daß wir auch in den einzelnen Ländern solche Kurse abhalten."
"13","1987-03-27","Zeitung","Die Zeit, 27.03.1987","Falsch war die Vorhersage zum Referendum der Spanier über den Nato-Verbleib; erheblich deutlicher als vorhergesagt votierten die Schweizer gegen den UNO-Beitritt ihres Landes, und auch bei den französischen Parlamentswahlen, stimmte die Prognose nicht:"
"14","1981-07-31","Zeitung","Die Zeit, 31.07.1981","Wir fuhren durch grünes Land."
"15","1976-04-30","Zeitung","Die Zeit, 30.04.1976","Vielleicht war dies Absicht des Autors, vielleicht wollte er die entwurzelten Litauer, die 1945 ihr Land verlassen mußten, in ihrer verzweifelten Lebenssituation in einer westlichen Wohlstandsgesellschaft beschreiben."
"16","1973-07-20","Zeitung","Die Zeit, 20.07.1973","Bei immer mehr Arten entwickelte sich eine Resistenz gegen das in einigen Ländern eingeschränkte oder ganz verbotene DDT."
