"No.","Date","Genre","Bibl","Hit"
"1","1934-01-01","gesprochen","Hitler, Adolf, Was soll das Ende sein?, in: Ernst Boepple (Hg.), Adolf Hitlers Reden, München: 1934 [12. April 1922]","Jenes Kapital, das seinen Charakter erhält durch die einzige überstaatliche Nation, die selbst national ist bis in die Knochen, sich aber über den anderen Nationen dünkend, sich auch über sie stellt und über sie auch bereits herrscht."
"2","1940-01-04","Zeitung","Archiv der Gegenwart, Bd. 10, 04.01.1940","Die zweite Tatsache besteht darin, daß beinahe bei allen Nationen der Erde heute der aufrichtige öffentliche Glaube besteht, daß die Vereinigten Staaten ein mächtiger Faktor der Bemühungen für die Wiederherstellung des Friedens waren und weiterhin sein werden."
"3","1939-12-31","Wissenschaft","Elias, Norbert: Über den Prozeß der Zivilisation - Soziogenetische und psychogenetische Untersuchungen Bd. 1, Frankfurt a. M.: Suhrkamp 1992 [1939], S. 40","In der Vorstellung des ""sozialen Systems"", die man hier vor sich hat, zeichnet sich mit andern Worten das Bild einer Nation als Gemeinschaft ab."
"4","1945-05-07","Zeitung","Archiv der Gegenwart, Bd. 15, 07.05.1945","Benutzen wir die Zukunft unserer Nation für eine Umwandlung unseres Geistes und dafür, daß die besten Kräfte Deutschlands, die der Welt dauernde große Werte geschaffen haben, wiedererwachen."
"5","1943-12-14","Zeitung","Archiv der Gegenwart, Bd. 13, 14.12.1943, S. 6205 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Der Sieg der europäischen Nationen unter Führung Deutschlands ist der einzige Weg, der in die Zukunft weist."
"6","1938-07-30","Zeitung","Archiv der Gegenwart, Bd. 8, 30.07.1938, S. 3656 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Das Bezirksamt, bei dem diese Meldung zu erfolgen hat, erkennt aber das Bekenntnis zu einer anderen Nation als zu der der Muttersprache nur dann an, wenn jemand seine Muttersprache weder in seiner Familie noch in seinem Privatleben spricht und die Sprache jener Nation, zu der er sich bekennen will, vollkommen beherrscht."
"7","1945-03-08","Zeitung","Archiv der Gegenwart, Bd. 15, 08.03.1945, S. 131 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","[...] Präambel: Im Hinblick darauf, daß: die Völker Amerikas beseelt von tiefer Gerechtigkeitsliebe sich auch weiterhin aufrichtig zu den Grundsätzen des Völkerrechts beikennen, ist es ihr Wunsch, daß diese Grundsätze trotz der gegenwärtigen schwierigen Umstände mit größerem Gewicht als bisher für die Gestaltung der künftigen internationalen Beziehungen maßgebend sein sollen; die Interamerikanischen Konferenzen wiederholt bestimmte grundlegende Prinzipien verkündet haben, die aber in einer Zeit, in der die rechtlichen Beziehungen innerhalb der Gemeinschaft der Nationen auf eine neue Grundlage gestellt werden, neuerlich bestätigt und verkündet werden müssen, die veränderte internationale Lage, die Einigkeit und Solidarität der Völker Amerikas mehr als je für die Verteidigung ihrer Rechte und die Aufrechterhaltung internationalen Friedens unumgänglich notwendig macht; die Staaten Amerikas seit 1890 durch Konventionen, Entschließungen und Erklärungen die folgenden Grundsätze zu einem Bestandteil ihres internationalen Rechts gemacht haben: a) die Ächtung territorialer Eroberungen und die Nichtanerkennung aller durch Gewalt vollzogenen Erwerbungen (Erste Internationale Konferenz der amerikanischen Staaten, 1890); b) die Verurteilung der Einmischung eines Staates in die inneren oder äußeren Angelegenheiten eines anderen (Siebente Internationale Konferenz der amerikanischen Staaten, 1933 und Interamerikanische Konferenz für [...]"
"8","1945-04-27","Zeitung","Archiv der Gegenwart, Bd. 15, 27.04.1945","Laut Reuter wurde eine Einigung über den Vorsitzenden der Konferenz der Vereinten Nationen von San Franzisco (194 B) erzielt."
"9","1940-05-01","Zeitung","Archiv der Gegenwart, Bd. 10, 01.05.1940","Er gedachte aller jener, die, vom jüngsten Lehrling bis zum Betriebsführer, unter den schwierigsten Verhältnissen ihre Pflicht für die Nation tun."
"10","1939-04-01","Zeitung","Archiv der Gegenwart, Bd. 9, 01.04.1939","Sie haben als Freiwillige mitgeholfen ein tyrannisches Regime zu brechen und einer Nation wieder das Selbstbestimmungsrecht zu geben."
"11","1937-04-13","Zeitung","Archiv der Gegenwart, Bd. 7, 13.04.1937, S. 3013 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Die Einmengung irgendeines ausländischen Staates in die innere Politik Ungarns könne aber als Verletzung der souveränen ungarischen Nation nicht geduldet werden."
"12","1939-01-30","Zeitung","Archiv der Gegenwart, Bd. 9, 30.01.1939, S. 3922 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Allen als Vorbild und Richtschnur stehe auch als großer Lehrmeister der deutschen Nation, der Führer als großes nationales Ideal vor der deutschen Jugend, als ein Mann, für den sich die Jugend auf das lebendigste begeistern könne. (L. B. 3913 G.)"
"13","1943-09-12","Zeitung","Archiv der Gegenwart, Bd. 13, 12.09.1943, S. 6085 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Die italienische Regierung verpflichtet sich ihrerseits, jede Verwaltungsbehörde oder Behörde anderer Art hinzunehmen, die der Oberbefehlshaber für notwendig erachtet; vor allem wird der Oberbefehlshaber eine alliierte Militärregierung in den Teilen des italienischen Gebietes errichten, in denen er eine derartige Maßnahme im militärischen Interesse der alliierten Nationen für erforderlich hält."
"14","1941-12-31","Zeitung","Archiv der Gegenwart, Bd. 11, 31.12.1941","Jetzt, wo die beiden großen Nationen ihre Lebensenergien mit der gleichen Entschlossenheit vereinigt haben, wird die Flamme ihrer Freiheitsfackel in immer hellerem Lichte erstrahlen."
"15","1940-03-15","Zeitung","Archiv der Gegenwart, Bd. 10, 15.03.1940, S. 4456 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","In dem Schreiben versichern die Legionäre König Carol ihrer Anhänglichkeit und erklären sich bereit, falls ein Befehl des Königs das verlange, ihren Tribut an Opfern im Dienste der Nation zu bringen."
"16","1936-05-16","Zeitung","Archiv der Gegenwart, Bd. 6, 16.05.1936, S. 2558 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","In beiden Nationen müsse der Wille erweckt werden die beiderseitigen Wünsche freimütig gegenüberzustellen, um ein gutes Einvernehmen zu schaffen."
"17","1942-12-23","Zeitung","Archiv der Gegenwart, Bd. 12, 23.12.1942, S. 5768 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Wir verteidigen zwar unser eigenes Land, aber mit allen Alliierten verteidigen wir vor allem etwas, was uns teurer ist als unsere eigene Nation -- nämlich die Sache des Rechts, der Freiheit und der Kultur der Menschheit."
"18","1934-09-05","Zeitung","Archiv der Gegenwart, Bd. 4, 05.09.1934","Durch die Stellung der Wehrmacht als einzigen Waffenträgers der Nation zu dem neuen Staat sei auf unabsehbare Zeit eine Sicherung des neuen Zustandes erfolgt."
"19","1940-06-22","Zeitung","Archiv der Gegenwart, Bd. 10, 22.06.1940, S. 4587 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Die neue Organisation biete jedermann eine Möglichkeit, seinen Anteil an der im Interesse der Nation zu leistenden Arbeit zu nehmen."
"20","1940-03-26","Zeitung","Archiv der Gegenwart, Bd. 10, 26.03.1940, S. 4468 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Gegenüber einer solchen Drohung bleibt uns nichts anderes übrig, als auf den alten Instinkt unserer Vorfahren zu hören: den alten Instinkt, der die Monarchie im Kampf gegen Karl V. beseelte, den Instinkt, der die revolutionäre Nation vor dem Kaiserreich 1792 formte, der Instinkt, der das republikanische Frankreich über das Deutschland Wilhelms II. triumphieren ließ."
"21","1945-02-10","Zeitung","Archiv der Gegenwart, Bd. 15, 10.02.1945","Der britische Arbeitsminister Bevin hob die Aufgabe der Arbeiterschaft, zur Verständigung zwischen den Nationen beizutragen, hervor."
"22","1943-06-27","Zeitung","Molo, Walter von: Seiner Zeit um 100 Jahre voraus ... In: Koralle, 27.06.1943, S. 264","""Zwischen dem Individuum und der Menschheit steht die Nation."""
"23","1944-03-01","Zeitung","Archiv der Gegenwart, Bd. 14, 01.03.1944, S. 6292 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Außerdem solle eine Altersversorgung (4423 E) eingeführt werden, die in ihren Grundzügen bereits festliege, durch die die Nation das zurückgebe, was ihr während eines Arbeitslebens an Leistungen gegeben worden sei."
"24","1945-01-21","Zeitung","Archiv der Gegenwart, Bd. 15, 21.01.1945, S. 6668 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","""Das Ziel unserer Armeen in China ist, die amerikanischen Armeen und Stützpunkte sowie alle Armeen der mit den Alliierten verbündeten Nationen vernichtend zu schlagen."
"25","1944-06-11","Zeitung","Archiv der Gegenwart, Bd. 14, 11.06.1944, S. 6408 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Der Zeitpunkt der Verhandlungen hänge von den übrigen Nationen ab."
"26","1945-12-23","Zeitung","Archiv der Gegenwart, Bd. 15, 23.12.1945, S. 582 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Die Kontrollkommission für Deutschland richtete laut AFP eine Note an die Regierungen der Vereinten Nationen, die folgende Forderungen enthält:"
"27","1945-08-29","Zeitung","Archiv der Gegenwart, Bd. 15, 29.08.1945, S. 403 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Er verwies auf den Beitritt Dänemarks zur Organisation der Vereinten Nationen (260 A), was bedeute, daß es in Zukunft für sein Land keine Neutralität mehr geben könne."
"28","1940-01-30","Zeitung","Archiv der Gegenwart, Bd. 10, 30.01.1940","Dieses Versailles wurde garantiert von dem neuen Völkerbund, nicht einem Bund der freien Nationen, der gleichen Nationen, überhaupt gar kein Völkerbund -- die eigentliche begründende Nation blieb ihm von Anfang an fern -- sondern ein Völkerbund, dessen einzige Aufgabe es war, dieses gemeinste aller Diktate zu garantieren und uns zu zwingen, es zu erfüllen."
"29","1941-01-11","Zeitung","Archiv der Gegenwart, Bd. 11, 11.01.1941, S. 4847 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Es ist von grundlegender Wichtigkeit, dieses Programm in richtiger Weise zu ergänzen; die Zeit ist gekommen, die Sicherung der weiteren, laufenden Lieferung des lebenswichtigen Kriegsmaterials an diejenigen Nationen in Erwägung zu ziehen, die sich gegen einen Angriff und gegen die Aufzwingung neuer Regierungsformen verteidigen."
"30","1940-11-29","Zeitung","Archiv der Gegenwart, Bd. 10, 29.11.1940, S. 4793 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Griechenland versichere seine Gegner, daß es entschlossen sei weiterzuleben als freie und unabhängige Nation."
"31","1945-05-08","Zeitung","Archiv der Gegenwart, Bd. 15, 08.05.1945","Für den Triumph des Geistes und der Waffen, den wir errungen haben, und für seine Folgen für die Völker allenthalben, die wie wir die Freiheit lieben, gehört es sich, daß wir als Nation dem allmächtigen Gott Dank abstatten, der uns gestärkt und uns den Sieg gegeben hat."
"32","1940-04-19","Zeitung","Archiv der Gegenwart, Bd. 10, 19.04.1940","Unser Land ist einem Blitzangriff von seiten einer Nation ausgesetzt worden, zu der wir immer freundschaftliche Beziehungen unterhalten hatten."
"33","1943-10-07","Zeitung","Archiv der Gegenwart, Bd. 13, 07.10.1943","Da ich nicht in der Lage bin, in unmittelbare Verbindung mit dem Duce zu treten, erlaube ich mir, Eure Exzellenz ergebenst zu bitten, obiges dem Duce freundlichst bekanntgeben zu wollen, und ihm gleichzeitig mitzuteilen, daß die ungarische Nation nie vergessen wird was er für sie getan hat und daß die ungarische Nation sich hierfür zu immerwährendem Dank verpflichtet fühlt."
"34","1939-06-29","gesprochen","o.A., Großkundgebung der NSDAP in der Prager Messehalle, 29.06.1939","Dies aber bedeutet nicht mehr und nicht weniger, als dass der deutschen Nation ein Kampf aufgezwungen ist, dessen Bedeutung nicht nur für uns, sondern für die Zukunft der gesamten gesitteten Menschheit entscheidend ist."
"35","1943-07-16","Zeitung","Archiv der Gegenwart, Bd. 13, 16.07.1943, S. 6014 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Die polnische Nation verliert damit einen großen Soldaten und Staatsmann welcher ihr wertvolle Dienste geleistet hat."
"36","1942-09-14","Zeitung","Archiv der Gegenwart, Bd. 12, 14.09.1942, S. 5632 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Wenn Churchill von den Vereinigten Nationen ""unter dem Schutz Gottes"" spreche und bei Aufzählung dieser Nationen einer Anzahl von landesflüchtigen Exilregierungen den bolschewistischen Staat und die Negerrepublik Haiti folgen lasse, so könne man zu einer solchen Kreuzzugschar ""zur Erreichung der Ziele der Menschheit"" nur gratulieren."
"37","1945-12-03","Zeitung","Archiv der Gegenwart, Bd. 15, 03.12.1945, S. 549 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Die Guthaben werden jeder Nation auf das Reparationskonto in Rechnung gestellt."
"38","1933-03-04","Zeitung","Völkischer Beobachter, 04.03.1933","Der Redner beendete seine Ausführungen mit einem Appell an die Versammlungsteilnehmer, sich restlos ohne Unterschied für den deutschen Freiheitskampf einzusetzen, damit dereinst eine spätere Generation mit Stolz sich zur deutschen Nation bekennen kann."
"39","1942-09-29","Zeitung","Archiv der Gegenwart, Bd. 12, 29.09.1942","Am ""Tag der Vereinigten Nationen"" am 14. Juni 1942 erfolgte der Anschluß zweier weiterer Staaten (5632 A), so daß nunmehr folgende 28 Staaten im Sinne der Atlantik-Charta zu den ""Vereinigten Nationen"" gehören:"
