"No.","Date","Genre","Bibl","Hit"
"1","1944-09-07","Zeitung","Archiv der Gegenwart, Bd. 14, 07.09.1944, S. 6514 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Auf ihrer Reise nach Tschungking ( 6495 C ) trafen der Leiter des Kriegsproduktionsamtes der Vereinigten Staaten, Donald Nelson, und Generalmajor Patrick Hurley in Begleitung des chinesischen Generalleutnants Tschu am 31. August in Moskau ein."
"2","1933-05-05","Zeitung","Archiv der Gegenwart, Bd. 3, 05.05.1933, S. 823 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Der italienische Sonderdelegierte, Minister Jung, erklärte bei seiner Ankunft in den Vereinigten Staaten, daß Italien die Revision der Verträge als notwendige Öffnung eines Sicherheitsventils betrachte, und daß man den Mut zu offener Aussprache finden müsse."
"3","1939-11-10","Zeitung","Archiv der Gegenwart, Bd. 9, 10.11.1939, S. 4311 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Glücklicherweise gibt es noch viele neutrale Staaten."
"4","1939-12-31","Wissenschaft","Jahresberichte für deutsche Geschichte, 1939, S. 570","Mechelens overwegende rol in de stichting van den Burgondischen Staat."
"5","1945-11-30","Gebrauchsliteratur","o. A.: Neunter Tag. Freitag, 30. November 1945. In: Der Nürnberger Prozeß, Berlin: Directmedia Publ. 1999 [1945], S. 2069","Die Vereinigten Staaten dürfen jetzt den Zeugen aufrufen, den sie aufrufen wollen."
"6","1933-05-22","Zeitung","Archiv der Gegenwart, Bd. 3, 22.05.1933, S. 852 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Ungarn sei an diesem Erfolg um so mehr interessiert, als dadurch die gegenwärtige Reihung der europäischen Staaten in verschiedene Rangklassen aufgehoben würde."
"7","1934-03-24","Zeitung","Archiv der Gegenwart, Bd. 4, 24.03.1934, S. 1349 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Keiner beiden Staaten ist Mitglied des Völkerbundes. ( L. B. Hedschas 1272 C, Jemen 1279 B )"
"8","1945-11-20","Gebrauchsliteratur","o. A.: Erster Tag. Dienstag, 20. November 1945. In: Der Nürnberger Prozeß, Berlin: Directmedia Publ. 1999 [1945], S. 1221","4. daß die Führerschaft der Nazi-Partei als der einzige Träger der vorangehenden und anderer Lehrsätze der Nazi-Partei berechtigt sei, den inneren Aufbau, die Politik und Gebaren des deutschen Staates zu lenken, die Tätigkeiten aller Einzelpersonen innerhalb des Staates zu überwachen und alle Gegner zu vernichten."
"9","1934-01-16","Zeitung","Archiv der Gegenwart, Bd. 4, 16.01.1934, S. 1230 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Der Goldvorrat des Staates werde zum Ausgleich der Spitzen im internationalen Zahlungsverkehr dienen oder aber für ein internationales Abkommen über die Neuverteilung des gesamten Münzgoldes der Welt herangezogen werden."
"10","1938-09-12","Zeitung","Archiv der Gegenwart, Bd. 8, 12.09.1938, S. 3718 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Die Zustande in diesem Staat sind, wie allgemein bekannt, unerträglich."
