"No.","Date","Genre","Bibl","Hit"
"1","1975-01-03","Zeitung","Die Zeit, 03.01.1975","Er trat mutig für die Abschaffung den Sklaverei ein, und als er eines Tages verhaftet wurde, weil er die Wahlsteuer, welche er für eine ungerechte Einrichtung hielt, nicht bezahlen wollte, schrieb er seinen berühmten Essay ""Über die Pflicht zum Ungehorsam gegen den Staat"", ein Protest gegen."
"2","1971-01-29","Zeitung","Die Zeit, 29.01.1971","Die Antinikotin-Fronde in England und den USA hat auch in unserem Land denjenigen Auftrieb gegeben, die das Werbetrommeln der Tabakkonzerne seit langem der einschränkenden Kontrolle des Staates unterwerfen wollen."
"3","1989-12-29","Zeitung","Die Zeit, 29.12.1989","Das ist kein Begriff, der irgend jemanden außerhalb der Grenzen der Vereinigten Staaten von Amerika sonderlich begeistern kann."
"4","1984-08-03","Zeitung","Die Zeit, 03.08.1984","""Man braucht offensichtlich, wenn man sich als Staat herausbildet, eine Zeit der Reife auch zur eigenen Geschichte."
"5","1985-04-26","Zeitung","Die Zeit, 26.04.1985","Ein Sprecher verlas eine Erklärung, in der die Vereinigten Staaten der fortgesetzten Einmischung in die Verhältnisse bezichtigt wurden."
"6","1983-04-08","Zeitung","Die Zeit, 08.04.1983","In das Land und zu den Menschen zu reisen, die man liebt, und zwar nicht unter dem kalten Blick des Staates?"""
"7","1984-02-24","Zeitung","Die Zeit, 24.02.1984","Es wird gemeinsam finanziert von den vier skandinavischen Staaten und von Island."
"8","1978-07-21","Zeitung","Die Zeit, 21.07.1978","Statt dessen sucht China offensichtlich auch eine Brücke zu den Staaten der Nato und zu den Westeuropäern zu schlagen, die in der albanischen Wertschätzung ungefähr bei den Sowjets rangieren."
"9","1981-10-23","Zeitung","Die Zeit, 23.10.1981","Erst, bitte sehr, käme der Staat und dann das Gewissen, erst die Behörde und der Minister, gegen die ein Beamter gefälligst nicht aufzutreten habe."
"10","1987-08-21","Zeitung","Die Zeit, 21.08.1987","Das Tun der Untermieter im Polizeirevier 2 zu Salzgitter verstoße gegen ""Geist und Buchstaben"" dieses Abkommens (die Hoheitsgewalt jedes der beiden Staaten beschränkt sich auf ein Staatsgebiet), wetterte der Ostberliner Strafrechtsprofessor Hans Weber vor zwei Jahren."
"11","1977-09-30","Zeitung","Die Zeit, 30.09.1977","Nicht nur auf Freiheit und Rechte als bloß formale Garantien des Bürgers gegenüber dem Staat, sondern als soziale Chancen in der alltäglichen Wirklichkeit der Gesellschaft kommt es an."""
"12","1975-10-10","Zeitung","Die Zeit, 10.10.1975","Das Wesen des Staates ist die Regierung und die Opposition."""
"13","1973-03-23","Zeitung","Die Zeit, 23.03.1973","Dieses Lebenswerk ist ein Teil der Geschichte dieser Partei, die er mitgestaltet hat: von der fast hoffnungslos abgehängten Opposition der fünfziger Jahre zur machtvollen Regierungspartei von heute, von jenen Tagen, da die Mehrheit der Bürger in diesem Lande glaubte, dieser SPD dürfe man den Staat nicht anvertrauen, bis ins Jahr 1973, da die Überzeugung herrscht, die SPD sei die führende politische Kraft in diesem Lande."
"14","1978-10-20","Zeitung","Die Zeit, 20.10.1978","Zu Beginn des 19. Jahrhunderts waren 55 Prozent der Erdoberfläche von Europa und von Staaten, die aus europäischen Kolonien hervorgegangen sind, abhängig."
"15","1985-02-08","Zeitung","Die Zeit, 08.02.1985","Auf Dauer gegen seine Zeit zu handeln, ist aber unmöglich - wie es unmöglich gewesen wäre, wenn in der dynastischen Periode des 17. und 18. Jahrhunderts ein europäischer Staat sich in eine Demokratie verwandelt hätte."
"16","1974-12-27","Zeitung","Die Zeit, 27.12.1974","Das ist mehr, als andere Staaten von sich sagen können."
"17","1989-05-19","Zeitung","Die Zeit, 19.05.1989","Eigentlich sind es 26 Staaten, doch in Italien wurde 1988 kein Atomstrom ins öffentliche Versorgungsnetz eingespeist."
"18","1981-05-15","Zeitung","Die Zeit, 15.05.1981","Selbst wenn die bisherigen Finanzpläne erfüllt werden können, wird bis 1984 der Anteil der Sachinvestitionen an den Gesamtausgaben des Staates ""den niedrigsten Stand in der Geschichte der Bundesrepeublik erreichen"", klagt das Deutsche Institut für Wirtschaftsforschung."
"19","1977-06-03","Zeitung","Die Zeit, 03.06.1977","Erstens: Die Vereinigten Staaten wollen nicht als erste in eine bestimmte Region hochmoderne Waffen einführen."
"20","1983-04-29","Zeitung","Die Zeit, 29.04.1983","Die Regierung in Managua will mit dem nördlichen Nachbarland Honduras nur verhandeln, wenn Washington daran beteiligt wird, weil - so behaupten die Sandinisten - Honduras und die Vereinigten Staaten gemeinsam die ins Land eingedrungenen Contras ausbilden und versorgen."
"21","1971-07-23","Zeitung","Die Zeit, 23.07.1971","In den Vereinigten Staaten wird mittlerweile die dritte Auflage ausgeliefert."
