"No.","Date","Genre","Bibl","Hit"
"367","1919-12-31","Wissenschaft","Weber, Max: Politik als Beruf. In: Weber, Marianne (Hg.) Gesammelte Politische Schriften, München: Drei Masken Verl. 1921 [1919], S. 432","Gewerkschaftsbeamte, Parteisekretäre, Journalisten kamen in die Höhe, Beamteninstinkte beherrschten die Partei, ein höchst ehrenhaftes Beamtentum - selten ehrenhaft darf man, mit Rücksicht auf die Verhältnisse anderer Länder, besonders im Hinblick auf die oft bestechlichen Gewerkschaftsbeamten in Amerika, sagen -, aber die früher erörterten Konsequenzen der Beamtenherrschaft traten auch in der Partei ein."
"368","1932-03-02","Zeitung","Vossische Zeitung (Abend-Ausgabe), 02.03.1932","Es gibt frische und auch wild-bunte Versuche, mit dem südlichen Land fertig zu werden."
"369","1920-12-31","Wissenschaft","Weber, Max: Die Wirtschaftsethik der Weltreligionen. In: Weber, Marianne (Hg.) Gesammelte Aufsätze zur Religionssoziologie, Bd. II, Tübingen: Mohr 1921 [1920-1921], S. 82","Die ersteren entstammen dem Schwerpunkt nach Gebieten, in welchen die soziale Gliederung auf dem Lande vorwiegend nicht durch finanzielle, sondern durch militärische Differenzierung: Loslösung der Ritter und Berufssoldaten von den Bauern, bedingt war und daher, wie in solchen Fällen stets, wesentlich weniger schroff blieb."
"370","1928-01-31","Zeitung","Tucholsky, Kurt: Briefe an einen Fuchsmajor. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1928]","Das Deutschland jener jungen Leute, die schon so früh 'Alte Herren' sind, und die für ihr Land einen Fluch darstellen, einen Albdruck und die Spirochäten der deutschen Krankheit."
"371","1919-12-31","Belletristik","Nabl, Franz: Die Augen. In: ders., Der Tag der Erkenntnis, Graz u. a.: Stiasny 1961 [1919], S. 106","Wie oft war sie am Sonntag mit ihm allein aufs Land gefahren, und am Abend, wenn er kam, oder beim Abschied hatte sie sich ruhig von ihm umarmen und küssen lassen."
"372","1921.0","Gebrauchsliteratur","§ 32 Staatsvertrag betreffend den Übergang der Wasserstraßen von den Ländern auf das Reich (Anhang zum Gesetz über die vermögensrechtlichen Verhältnisse der Bundeswasserstraßen) (WaStrÜbgVtr), 1921.","Diese können im Falle des Zustandekommens abweichender Vereinbarungen mit einzelnen Länder für sich die gleichen Zugeständnisse beanspruchen, soweit diese über den Inhalt des gegenwärtigen Vertrags hinausgehen und nachweislich für sie günstiger sind."
"373","1918-03-13","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 13.03.1918","Es ist die Nachricht eingetroffen, daß die Konsuln der Alliierten in Wladiwostok ein Ultimatum an die Lokalbehörden richteten, in dem sie die Wiederherstellung des vor der Herrschaft der Bolschewiki bestehenden Regierungssystems forderten, sowie den Schutz der Untertanen der alliierten Länder gegen die Einmischung der lokalen Verwaltung verlangten."
"374","1919-12-31","Zeitung","Der Jude, Bd. 4, Nr. 3, 1919","Das jüdische Palästina - bevor es noch ein solches gibt, bevor wir nicht im Lande eine Majorität haben und ein voll entwickeltes eigenes Leben geschaffen haben?"
"375","1932-12-31","Wissenschaft","Wind, Edgar: Humanitätsidee und heroisiertes Porträt in der englischen Kultur des 18. Jahrhunderts. In: Saxl, Fritz (Hg.), Vorträge 1930 - 1931, Leipzig: Teubner 1932, S. 211","Und wenn ein anderer Zeichner den Tod Garricks symbolisieren will, so stellt er ihn wiederum in einer Entscheidungssituation dar: die Musen mit der Büste Shakespeares auf der einen Seite, Kronos, der auf das selige Land, das noch immer in Anlehnung an die Herkulesdarstellungen durch den Tugendhügel mit dem Tempel symbolisiert wird, auf der anderen; und Garrick, der halb zaudernd in der Mitte steht, entscheidet sich für Kronos. (""Farewell! a long Farewell!"""
"376","1919-04-06","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 06.04.1919","Von dem Landhunger der Landgemeinden und der Verwandlung von Weizenland in Weide auf dem benachbarten Rittergut wird vom Südosten berichtet, und aus dem äußersten Nordwesten tönt das Echo, daß vier Fünftel des Landes in einem Bezirk Westfalens fürstlicher Besitz sei und nicht einmal ein Hausgarten hinzuzuerwerben sei, und aus dem Südwesten kommt die Klage über das freiherrliche Geschlecht, das das Oed- und Weideland der Gemeinde an sich gebracht habe; seine Rückgabe wird verlangt."
